"Time","data"
0.168,0,-0.0473443,7.99302,1.63216
0.17,0,-0.0466392,7.94816,1.6475
0.172,0,-0.0464377,7.89158,1.66284
0.174,0,-0.046337,7.84617,1.67817
0.176,0,-0.0450275,7.81791,1.69658
0.178,0,-0.0451282,7.74656,1.71192
0.18,0,-0.0479487,7.72084,1.72726
0.182,0,-0.0460348,7.68558,1.7426
0.184,0,-0.0453297,7.66638,1.75794
0.186,0,-0.0453297,7.6075,1.77328
0.188,0,-0.0458333,7.59285,1.78555
0.19,0,-0.044826,7.56821,1.80089
0.192,0,-0.0446245,7.53355,1.81623
0.194,0,-0.0442216,7.51555,1.83157
0.196,0,-0.0444231,7.44789,1.84691
0.198,0,-0.0435165,7.41999,1.86225
0.2,0,-0.0437179,7.37922,1.87759
0.202,0,-0.0427106,7.37331,1.88986
0.204,0,-0.0437179,7.34951,1.9052
0.206,0,-0.0429121,7.30002,1.92054
0.208,0,-0.0431136,7.25465,1.93588
0.21,0,-0.0423077,7.23067,1.94816
0.212,0,-0.0417033,7.20637,1.9635
0.214,0,-0.0417033,7.18814,1.97884
0.216,0,-0.0444231,7.14102,1.99111
0.218,0,-0.0423077,7.09196,2.00645
0.22,0,-0.0415018,7.056,2.01872
0.222,0,-0.041804,7.02838,2.03406
0.224,0,-0.0409982,6.98289,2.0494
0.226,0,-0.0416026,6.95497,2.06167
0.228,0,-0.0409982,6.93325,2.07701
0.23,0,-0.0415018,6.88312,2.08928
0.232,0,-0.0404945,6.8424,2.10462
0.234,0,-0.0408974,6.78607,2.11689
0.236,0,-0.0401923,6.73974,2.12917
0.238,0,-0.0403938,6.72246,2.14451
0.24,0,-0.0394872,6.65496,2.15678
0.242,0,-0.0382784,6.61238,2.16905
0.244,0,-0.0389835,6.56839,2.18132
0.246,0,-0.0384799,6.51329,2.19666
0.248,0,-0.0379762,6.45759,2.20893
0.25,0,-0.0375733,6.40377,2.2212
0.252,0,-0.0369689,6.35134,2.23348
0.254,0,-0.0368681,6.28149,2.24575
0.256,0,-0.0355586,6.21875,2.25802
0.258,0,-0.0350549,6.15074,2.27029
0.26,0,-0.0353571,6.07697,2.28256
0.262,0,-0.0347527,6.00547,2.29484
0.264,0,-0.0364652,5.92251,2.30711
0.266,0,-0.0336447,5.85307,2.31631
0.268,0,-0.033544,5.77069,2.32858
0.27,0,-0.0334432,5.6736,2.34085
0.272,0,-0.0324359,5.57554,2.35006
0.274,0,-0.0319322,5.50221,2.36233
0.276,0,-0.0040293,5.393,2.3654
0.278,0,0.00775641,2.87175,2.36847
0.28,0,0.0193407,3.29798,2.36233
0.282,0,0.015815,-3.08942,2.35619
0.284,0,0.0324359,-2.96789,2.34699
0.286,0,0.0160165,-3.80368,2.33779
0.288,0,0.0291117,-3.6554,2.33165
0.29,0,0.0157143,-4.229,2.32551
0.292,0,0.0169231,-3.34816,2.31938
0.294,0,0.0184341,-3.07256,2.31324
0.296,0,0.0202473,-3.07256,2.30711
0.298,0,0.0211538,-2.94143,2.30097
0.3,0,0.0211538,-2.94143,2.29484
0.302,0,0.0234707,-2.99541,2.2887
0.304,0,0.024881,-3.616,2.2795
0.306,0,0.0256868,-3.616,2.27336
0.308,0,0.0263919,-4.01723,2.26416
0.31,0,0.0289103,-4.2639,2.25495
0.312,0,0.0292125,-4.2639,2.24575
0.314,0,0.0299176,-4.603,2.23654
0.316,0,0.0318315,-4.82463,2.22427
0.318,0,0.0337454,-5.04896,2.21507
0.32,0,0.0364652,-5.39093,2.2028
0.322,0,0.0386813,-5.8332,2.19052
0.324,0,0.0405952,-6.24376,2.17825
0.326,0,0.041804,-6.55465,2.16291
0.328,0,0.0445238,-6.84951,2.14757
0.33,0,0.0471429,-7.51331,2.13223
0.332,0,0.049359,-7.83414,2.11689
0.334,0,0.051978,-8.10751,2.10155
0.336,0,0.0535897,-8.58563,2.08315
0.338,0,0.0554029,-8.81229,2.06474
0.34,0,0.0578205,-9.40151,2.04633
0.342,0,0.0596337,-9.69521,2.02792
0.344,0,0.062152,-10.269,2.00645
0.346,0,0.0653755,-10.8045,1.98497
0.348,0,0.0680952,-11.3216,1.96043
0.35,0,0.0699084,-11.5489,1.93588
0.352,0,0.0733333,-12.0549,1.91134
0.354,0,0.0761538,-12.7312,1.88373
0.356,0,0.0788736,-13.139,1.85918
0.358,0,0.0819963,-13.549,1.83157
0.36,0,0.0822985,-13.9211,1.80396
0.362,0,0.0848168,-14.3558,1.77328
0.364,0,0.08663,-14.5872,1.74567
0.366,0,0.0874359,-14.7439,1.71499
0.368,0,0.0869322,-14.876,1.68431
0.37,0,0.0873352,-14.8605,1.6567
0.372,0,0.08663,-14.726,1.62602
0.374,0,0.0859249,-14.5641,1.59841
0.376,0,0.0828022,-14.3105,1.56773
0.378,0,0.0810897,-13.8482,1.54012
0.38,0,0.0789744,-13.5275,1.51557
0.382,0,0.0760531,-13.0725,1.48796
0.384,0,0.0732326,-12.6281,1.46342
0.386,0,0.0704121,-12.1503,1.43887
0.388,0,0.0671886,-11.6368,1.4174
0.39,0,0.0638645,-11.1014,1.39285
0.392,0,0.0620513,-10.8852,1.37138
0.394,0,0.0592308,-10.3922,1.35297
0.396,0,0.0575183,-9.87751,1.3315
0.398,0,0.0548993,-9.58405,1.31309
0.4,0,0.0513736,-8.9406,1.29468
0.402,0,0.049359,-8.63547,1.27934
0.404,0,0.0480495,-8.36471,1.264
0.406,0,0.0452289,-7.91172,1.24866
0.408,0,0.0431136,-7.58308,1.23332
0.41,0,0.0404945,-7.28402,1.21798
0.412,0,0.0398901,-6.97842,1.20571
0.414,0,0.0377747,-6.70054,1.19344
0.416,0,0.0363645,-6.41619,1.18117
0.418,0,0.0341484,-6.13827,1.16889
0.42,0,0.0348535,-5.84664,1.15662
0.422,0,0.0345513,-5.51957,1.14742
0.424,0,0.0300183,-5.31121,1.13515
0.426,0,0.0293132,-5.31121,1.12594
0.428,0,0.0280037,-5.07311,1.11674
0.43,0,0.0279029,-4.79968,1.10753
0.432,0,0.0267949,-4.55124,1.09833
0.434,0,0.0250824,-4.55124,1.08913
0.436,0,0.0239744,-4.29858,1.08299
0.438,0,0.0237729,-4.10049,1.07379
0.44,0,0.0228663,-4.10049,1.06765
0.442,0,0.0227656,-3.86914,1.05845
0.444,0,0.0221612,-3.86914,1.05231
0.446,0,0.0199451,-3.66081,1.04617
0.448,0,0.020348,-3.41838,1.04004
0.45,0,0.0200458,-3.4771,1.03084
0.452,0,0.0190385,-3.30242,1.0247
0.454,0,0.0192399,-3.30242,1.01856
0.456,0,0.0184341,-3.12742,1.01243
0.458,0,0.0174267,-3.12742,1.00936
0.46,0,0.0172253,-2.96793,1.00322
0.462,0,0.0172253,-2.97242,0.997088
0.464,0,0.0165201,-2.97242,0.990952
0.466,0,0.0159158,-2.82237,0.984816
0.468,0,0.0164194,-2.82237,0.981748
0.47,0,0.0161172,-2.67748,0.975612
0.472,0,0.0155128,-2.67748,0.969476
0.474,0,0.0159158,-2.5814,0.966408
0.476,0,0.0154121,-2.55171,0.960272
0.478,0,0.0151099,-2.55171,0.957204
0.48,0,0.0133974,-2.44815,0.951068
0.482,0,0.014707,-2.44815,0.948
0.484,0,0.0146062,-2.44815,0.941864
0.486,0,0.0136996,-2.35989,0.935728
0.488,0,0.0140018,-2.35989,0.93266
0.49,0,0.0145055,-2.3025,0.926524
0.492,0,0.014304,-2.3025,0.923456
0.494,0,0.0139011,-2.3025,0.920388
0.496,0,0.014304,-2.27113,0.914253
0.498,0,0.0142033,-2.27113,0.911185
0.5,0,0.014304,-2.27113,0.905049
0.502,0,0.0141026,-2.26909,0.901981
0.504,0,0.0146062,-2.26909,0.895845
0.506,0,0.0144048,-2.26909,0.892777
0.508,0,0.0141026,-2.27068,0.886641
0.51,0,0.0146062,-2.27068,0.883573
0.512,0,0.0144048,-2.29009,0.877437
0.514,0,0.0149084,-2.29009,0.874369
0.516,0,0.0151099,-2.29009,0.868233
0.518,0,0.0152106,-2.3084,0.865165
0.52,0,0.0151099,-2.3084,0.859029
0.522,0,0.0163187,-2.32446,0.852893
0.524,0,0.0152106,-2.32446,0.849825
0.526,0,0.014707,-2.32446,0.843689
0.528,0,0.0153114,-2.35034,0.840621
0.53,0,0.0144048,-2.35034,0.834486
0.532,0,0.0155128,-2.35034,0.831418
0.534,0,0.014707,-2.37004,0.825282
0.536,0,0.0156136,-2.37004,0.822214
0.538,0,0.0151099,-2.40617,0.816078
0.54,0,0.0148077,-2.40617,0.81301
0.542,0,0.0157143,-2.40617,0.806874
0.544,0,0.0159158,-2.43711,0.800738
0.546,0,0.0159158,-2.43711,0.79767
0.548,0,0.0157143,-2.47063,0.791534
0.55,0,0.0157143,-2.47063,0.785398
0.552,0,0.0155128,-2.47063,0.78233
0.554,0,0.0159158,-2.50538,0.776194
0.556,0,0.0159158,-2.50538,0.770058
0.558,0,0.0157143,-2.52961,0.76699
0.56,0,0.0161172,-2.52961,0.760854
0.562,0,0.0161172,-2.53792,0.754719
0.564,0,0.0156136,-2.53792,0.751651
0.566,0,0.0159158,-2.53792,0.745515
0.568,0,0.0156136,-2.53805,0.739379
0.57,0,0.0157143,-2.53805,0.736311
0.572,0,0.0159158,-2.52436,0.730175
0.574,0,0.015815,-2.52436,0.727107
0.576,0,0.0153114,-2.52436,0.720971
0.578,0,0.0149084,-2.48876,0.714835
0.58,0,0.0156136,-2.48876,0.711767
0.582,0,0.0150092,-2.44291,0.705631
0.584,0,0.0150092,-2.44291,0.702563
0.586,0,0.0149084,-2.44291,0.696427
0.588,0,0.0144048,-2.39479,0.693359
0.59,0,0.0140018,-2.39479,0.687223
0.592,0,0.0140018,-2.39148,0.684155
0.594,0,0.0140018,-2.31887,0.67802
0.596,0,0.0138004,-2.31887,0.674952
0.598,0,0.0139011,-2.22744,0.668816
0.6,0,0.0129945,-2.22744,0.665748
0.602,0,0.0128938,-2.22744,0.66268
0.604,0,0.0123901,-2.12018,0.656544
0.606,0,0.0123901,-2.12018,0.653476
0.608,0,0.0117857,-2.12018,0.650408
0.61,0,0.0106777,-1.99879,0.64734
0.612,0,0.0105769,-1.96295,0.644272
0.614,0,0.00987179,-1.96295,0.641204
0.616,0,0.00967033,-1.96295,0.638136
0.618,0,0.00946886,-1.62039,0.635068
0.62,0,0.00846154,-1.74516,0.632
0.622,0,0.00815934,-1.74516,0.628932
0.624,0,0.00745421,-1.74516,0.625864
0.626,0,0.00684982,-1.54048,0.622796
0.628,0,0.00574176,-1.23068,0.622796
0.63,0,0.00604396,-1.42017,0.619728
0.632,0,0.0046337,-1.42017,0.619728
0.634,0,0.00352564,-1.42017,0.61666
0.636,0,0.00362637,-1.42017,0.61666
0.638,0,0.00261905,-1.27013,0.61666
0.64,0,0.00171245,-1.05198,0.61666
0.642,0,0.000100733,-0.898426,0.61666
0.644,0,-0.00040293,-0.783277,0.61666
0.646,0,-0.00110806,-0.694874,0.61666
0.648,0,-0.00271978,-0.624146,0.61666
0.65,0,-0.00423077,-0.566439,0.619728
0.652,0,-0.00644689,-0.518538,0.619728
0.654,0,-0.00684982,0.4782,0.622796
0.656,0,-0.00886447,0.443628,0.625864
0.658,0,-0.00977106,0.403866,0.628932
0.66,0,-0.011685,0.403866,0.632
0.662,0,-0.0136996,0.403866,0.635068
0.664,0,-0.0150092,1.59999,0.641204
0.666,0,-0.0166209,1.59999,0.64734
0.668,0,-0.0185348,2.44883,0.653476
0.67,0,-0.0207509,2.44883,0.659612
0.672,0,-0.0223626,3.13886,0.665748
0.674,0,-0.0245788,3.13886,0.674952
0.676,0,-0.0265934,3.72617,0.681087
0.678,0,-0.0286081,4.25478,0.693359
0.68,0,-0.0310256,4.7459,0.702563
0.682,0,-0.0334432,4.7459,0.711767
0.684,0,-0.0351557,5.19877,0.724039
0.686,0,-0.0365659,5.59843,0.736311
0.688,0,-0.0374725,5.95303,0.748583
0.69,0,-0.0393864,6.45665,0.763922
0.692,0,-0.0399908,6.63473,0.776194
0.694,0,-0.0405952,6.76047,0.788466
0.696,0,-0.0411996,6.83668,0.803806
0.698,0,-0.0400916,6.88962,0.816078
0.7,0,-0.0394872,6.85887,0.831418
0.702,0,-0.0385806,6.74411,0.843689
0.704,0,-0.040293,6.59634,0.855961
0.706,0,-0.0349542,6.37384,0.868233
0.708,0,-0.0333425,6.10506,0.880505
0.71,0,-0.0312271,5.78512,0.889709
0.712,0,-0.0288095,5.3611,0.901981
0.714,0,-0.0266941,4.91286,0.911185
0.716,0,-0.024478,4.91286,0.917321
0.718,0,-0.0227656,4.42173,0.926524
0.72,0,-0.0207509,3.92249,0.93266
0.722,0,-0.0184341,3.93348,0.938796
0.724,0,-0.0165201,3.24218,0.944932
0.726,0,-0.0144048,3.35972,0.951068
0.728,0,-0.0124908,3.30314,0.954136
0.73,0,-0.0113828,2.59178,0.960272
0.732,0,-0.00967033,2.59178,0.96334
0.734,0,-0.00805861,2.59178,0.96334
0.736,0,-0.00624542,2.00718,0.966408
0.738,0,-0.00352564,1.5131,0.969476
