"Time","angle"
37.652,-0.527344
37.656,-0.527344
37.66,-0.527344
37.664,-0.527344
37.668,-0.351562
37.672,-0.351562
37.676,-0.351562
37.68,-0.351562
37.684,-0.351562
37.688,-0.351562
37.692,-0.351562
37.696,-0.175781
37.7,-0.175781
37.704,-0.175781
37.708,-0.175781
37.712,-0.175781
37.716,-0.175781
37.72,-0.175781
37.724,-0.175781
37.728,0
37.732,0
37.736,0
37.74,0
37.744,0
37.748,0
37.752,0
37.756,0.175781
37.76,0.175781
37.764,0.175781
37.768,0.175781
37.772,0.175781
37.776,0.175781
37.78,0.175781
37.784,0.351562
37.788,0.351562
37.792,0.351562
37.796,0.351562
37.8,0.351562
37.804,0.351562
37.808,0.351562
37.812,0.351562
37.816,0.351562
37.82,0.351562
37.824,0.351562
37.828,0.351562
37.832,0.351562
37.836,0.351562
37.84,0.351562
37.844,0.351562
37.848,0.351562
37.852,0.351562
37.856,0.351562
37.86,0.351562
37.864,0.351562
37.868,0.351562
37.872,0.351562
37.876,0.351562
37.88,0.351562
37.884,0.351562
37.888,0.351562
37.892,0.351562
37.896,0.351562
37.9,0.351562
37.904,0.351562
37.908,0.351562
37.912,0.351562
37.916,0.351562
37.92,0.351562
37.924,0.351562
37.928,0.175781
37.932,0.175781
37.936,0.175781
37.94,0.175781
37.944,0.175781
37.948,0.175781
37.952,0.175781
37.956,0.175781
37.96,0
37.964,0
37.968,0
37.972,0
37.976,0
37.98,0
37.984,0
37.988,0
37.992,-0.175781
37.996,-0.175781
38,-0.175781
38.004,-0.175781
38.008,-0.175781
38.012,-0.175781
38.016,-0.175781
38.02,-0.175781
38.024,-0.175781
38.028,-0.351562
38.032,-0.351562
38.036,-0.351562
38.04,-0.351562
38.044,-0.351562
38.048,-0.351562
38.052,-0.351562
38.056,-0.527344
38.06,-0.527344
38.064,-0.527344
38.068,-0.527344
38.072,-0.527344
38.076,-0.527344
38.08,-0.527344
38.084,-0.527344
38.088,-0.527344
38.092,-0.527344
38.096,-0.703125
38.1,-0.703125
38.104,-0.703125
38.108,-0.703125
38.112,-0.703125
38.116,-0.703125
38.12,-0.703125
38.124,-0.703125
38.128,-0.703125
38.132,-0.703125
38.136,-0.703125
38.14,-0.703125
38.144,-0.703125
38.148,-0.703125
38.152,-0.703125
38.156,-0.703125
38.16,-0.527344
38.164,-0.527344
